State,Year,Month,Forest Cover Percentage
Assam,2007,1,99.04638700047788
Assam,2007,2,98.91813417471926
Assam,2007,3,99.40639637485302
Assam,2007,4,98.72863626187647
Assam,2007,5,98.06026644613809
Assam,2007,6,97.51799488530641
Assam,2007,7,96.03289350785057
Assam,2007,8,95.85085823304874
Assam,2007,9,96.7681343273496
Assam,2007,10,98.2036698816149
Assam,2007,11,98.25617252036058
Assam,2007,12,98.31876266750137
Assam,2008,1,98.66001260754884
Assam,2008,2,98.8060464302279
Assam,2008,3,98.79766258611463
Assam,2008,4,98.78085507860301
Assam,2008,5,98.20734736493326
Assam,2008,6,97.14961494678637
Assam,2008,7,96.88828651639594
Assam,2008,8,95.67296343152886
Assam,2008,9,97.52453953376009
Assam,2008,10,98.06153593070583
Assam,2008,11,98.7424983156019
Assam,2008,12,98.60304889720108
Meghalaya,2007,1,99.99797099023291
Meghalaya,2007,2,99.99797099023291
Meghalaya,2007,3,99.99797099023291
Meghalaya,2007,4,99.99797099023291
Meghalaya,2007,5,99.99797099023291
Meghalaya,2007,6,99.99579760861695
Meghalaya,2007,7,99.93878121591226
Meghalaya,2007,8,99.98628467436254
Meghalaya,2007,9,99.98420431068583
Meghalaya,2007,10,99.99173178519895
Meghalaya,2007,11,99.99623072416341
Meghalaya,2007,12,99.99797099023291
Meghalaya,2008,1,99.99797099023291
Meghalaya,2008,2,99.99797099023291
Meghalaya,2008,3,99.99797099023291
Meghalaya,2008,4,99.99797099023291
Meghalaya,2008,5,99.99797099023291
Meghalaya,2008,6,99.99753787468647
Meghalaya,2008,7,99.98897311230401
Meghalaya,2008,8,99.94392129158965
Meghalaya,2008,9,99.99797099023291
Meghalaya,2008,10,99.99797099023291
Meghalaya,2008,11,99.99753787468647
Meghalaya,2008,12,99.99797099023291
